k	s	size	TrainingTime	Accuracy
1	0.5	0.2	33.615874217	0.892212
1	0.75	0.2	32.283892078	0.892224
1	1	0.2	32.662590817	0.892224
1	1.25	0.2	32.115173243	0.892224
1	1.5	0.2	31.989049096	0.892201
2	0.5	0.6	47.694806314	0.935799
2	0.75	0.6	47.948908026	0.93581
2	1	0.6	48.417864638	0.935752
2	1.25	0.6	47.697380791	0.935764
2	1.5	0.6	47.597103962	0.935672
3	0.5	6	105.524623281	0.97361
3	0.75	6	108.467121723	0.973379
3	1	6	108.88024818	0.973171
3	1.25	6	109.309878214	0.973079
3	1.5	6	103.194827384	0.97301
4	0.5	30	205.917174454	0.98725
4	0.75	30	215.251457487	0.987169
4	1	30	201.567931425	0.987088
4	1.25	30	195.761487842	0.986961
4	1.5	30	191.186652471	0.98688
5	0.5	90	255.674438626	0.992331
5	0.75	90	259.420639965	0.992135
5	1	90	256.119980708	0.9918
5	1.25	90	253.339355783	0.991731
5	1.5	90	285.505833784	0.991754
6	0.5	190	331.862400532	0.994214
6	0.75	190	332.557095003	0.99411
6	1	190	341.449020409	0.994179
6	1.25	190	332.799590512	0.99411
6	1.5	190	303.951213104	0.993867
7	0.5	335	342.598172614	0.994341
7	0.75	335	338.09581602	0.994318
7	1	335	335.641678779	0.994156
7	1.25	335	339.875223444	0.994145
7	1.5	335	341.725053984	0.994052
8	0.5	520	363.677827432	0.993602
8	0.75	520	388.194621947	0.994249
8	1	520	399.370742777	0.994341
8	1.25	520	395.997090482	0.994168
8	1.5	520	368.978167993	0.994237
9	0.75	720	423.938461229	0.993325
9	1	720	382.80507216	0.926917
